no;diferenciais;descricao
11;VISÃO;Faculdade vanguardista, disruptiva. Enxerga possibilidades onde outros não vêem. É magnético e perceptivo e consegue ter uma visão integral para pessoas, situações e coisas. Visão ampla e percepção.
22;REALIZAÇÃO;Grande força e determinação para alcançar os objetivos. É um construtor que deseja realizar e concretizar com impacto. Possui domínio, poder, construtividade e expansão. Eficiente, prático e concretizador. Atinge êxito na materialização das coisas construídas em bases sólidas. 
