NUMERO;KAN;DESCRICAO
3;CRIAÇÃO;"Estímulo para criar em qualquer área de atuação. 
Impulsionados a trazer novidades, enriquecendo suas entregas. 
Auxiliam à equipe em busca de diferenciais e evolução constante."
6;MOVIMENTO;"Trocas, interações, conectar pontos. Movimento nas atividades. 
Propulsores para qualquer equipe, fundamentais para atingir eficiência."
9;FINALIDADE;Prazer em concluir as atividades. Só param quando sentem que o ciclo está finalizado.  Foco, evitando  dispersar energia e atenção.  Peças que garantem as entregas.
